pincode,circle,region,division,offices
762107,Odisha Circle,Berhampur Region,Phulbani Division,"Tumudibandha S.O, Belghar B.O, Bhandrangi B.O, Bilamala B.O, Gumma B.O, Jalespata B.O, Jhiripani B.O, Lankagada B.O, Mandalapadar B.O, Mundigarh B.O, Sirla B.O"
762109,Odisha Circle,Berhampur Region,Phulbani Division,"Kurtamgarh S.O, Balimusti B.O, Bataguda B.O, Biringia B.O, Dadakangia B.O, Dangesiguda B.O, Mediakia B.O, Parampanga B.O, Pusangia B.O"
762110,Odisha Circle,Berhampur Region,Phulbani Division,"Barakhama S.O, Balakia B.O, Khamankhole B.O, Kutikia B.O, Melsikia B.O, Pokharibandha B.O, Rabingia B.O, Salaguda B.O, Sarkipada B.O, Sautikia B.O, Sudra B.O, Tikarabaju B.O"
762112,Odisha Circle,Berhampur Region,Phulbani Division,"Paburia S.O, Adasikupa B.O, Burbinaju B.O, Gardingia B.O, Luhuringia B.O, Petapanga B.O"
763001,Odisha Circle,Berhampur Region,Koraput Division,Sunabeda 1 S.O
763002,Odisha Circle,Berhampur Region,Koraput Division,"Sunabeda 2 S.O, R Zone(Sunabeda) S.O, Sector VII(Sunabeda) S.O"
763003,Odisha Circle,Berhampur Region,Koraput Division,"D.P.Camp, Sunabeda S.O"
763004,Odisha Circle,Berhampur Region,Koraput Division,"Nad, Sunabeda S.O"
763008,Odisha Circle,Berhampur Region,Koraput Division,"Damanjodi S.O, Bhitarguda B.O, Litiguda B.O, Mathalput B.O"
764001,Odisha Circle,Berhampur Region,Koraput Division,"Jeypore(K) H.O, B.D.Pur S.O, Jeypore(K) Civil Court S.O, Jeypore(K) Koraput Road S.O, Sriram Nagar S.O"
764002,Odisha Circle,Berhampur Region,Koraput Division,"Jeypore(K) R.S. S.O, Asana B.O, Bagderi B.O, Banuaguda B.O, Bhejahandi B.O, Bhusanguda B.O, D.Paunsi B.O, Dhanpur B.O, Kaliagam B.O, Karimiti B.O, Kundura B.O, Lima B.O, Phampuni B.O, Phupugaon B.O, Rondapalli B.O, Taraput B.O, Umuri B.O, Badajiuna B.O"
764003,Odisha Circle,Berhampur Region,Koraput Division,"Prasadraopeta S.O, Dabuguda B.O, Dongerchinchi B.O, Gadapadar B.O, Peta B.O, Tankua B.O"
764004,Odisha Circle,Berhampur Region,Koraput Division,Jeypore(K) Irrigation Colony S.O
764005,Odisha Circle,Berhampur Region,Koraput Division,"Jayanagar S.O (Koraput), Anta B.O, Bhaminiput B.O, Digapur B.O, Ghumar B.O, Raniput B.O"
764006,Odisha Circle,Berhampur Region,Koraput Division,Bariniput S.O
764011,Odisha Circle,Berhampur Region,Koraput Division,"Kolab Nagar S.O, Deoghati B.O"
764014,Odisha Circle,Berhampur Region,Koraput Division,"Narayanpatna S.O, Balipeta B.O, Jogipalur B.O, Khumbari B.O, Podapadar B.O, T.Gumandi B.O, T.Padar B.O, Bijaghati B.O"
764020,Odisha Circle,Berhampur Region,Koraput Division,"Koraput H.O, Koraput Collectorate S.O"
764021,Odisha Circle,Berhampur Region,Koraput Division,"Omp Line S.O, A.Malkangiri B.O, Dumuriput B.O, Kendar B.O, Mahadeiput B.O, Mastiput B.O, Nandigam B.O, P.Phulbeda B.O, Suku B.O, Umuri B.O, Manbar B.O, Koraput R.S. S.O"
764027,Odisha Circle,Berhampur Region,Koraput Division,"Bandhugam S.O, Almonda B.O, Borigi B.O, Garidi B.O, Jabaguda B.O, Kabirbadi B.O, Kaploda B.O, Kumbharput B.O, Nilabadi B.O, Padavalda B.O, Ranjiput B.O, Sadabari B.O, Langalabeda B.O, Kanagam B.O, Kumbhaganda B.O, Kutrabeda B.O"
764028,Odisha Circle,Berhampur Region,Koraput Division,"Dasamanthpur S.O, Parajabedapadar B.o, Chanabeda B.O, Dambaguda B.O, Girliguma B.O, Lulla B.O, Murkur B.O, Pindapadar B.O, Chikambo B.O"
764036,Odisha circle,Berhampur Region,Koraput Division,"D.Padar B.O, Dudhari B.O, Hataguda B.O, K.Guda B.O, Khudi B.O, Kunduli B.O, P.Muthai B.O, Pakjhola B.O, Rajput B.O, Renga B.O, Upperkanti B.O, Nandaka B.O, Semiliguda S.O, Charangul B.O"
764037,Odisha Circle,Berhampur Region,Koraput Division,"Nandapur S.O, Umbel B.O, B.Maliput B.O, Bheja B.O, Guntaput B.O, Hakimput B.O, Kadamguda B.O, Kasandi B.O, Khurjee B.O, Kumargandhana B.O, Malbelagam B.O, Pithaguda B.O, Simla B.O, Subai B.O, T.Thuba B.O"
764038,Odisha Circle,Berhampur Region,Koraput Division,"Padwa S.O (Koraput), Balda B.O, Chatwa B.O, Golur B.O, Hatibari B.O, Kularsingi B.O, Panthulunga B.O, Raisingi B.O, Wandergada B.O"
764039,Odisha circle,Berhampur Region,Koraput Division,"Chendika B.O, Deopotangi B.O, Gangarajpur B.O, Kotiya B.O, Maliput B.O, Ondrangi B.O, Peturu B.O, Pukali B.O, Ralegada B.O, Sadam B.O, Sambai B.O, Sorada B.O, Sunki B.O, Turia B.O, Nuagaon B.O, Pottangi S.O, Ampawalli B.O"
764040,Odisha Circle,Berhampur Region,Koraput Division,"Machhkund S.O, Badigada B.O, Godihanjar B.O, Guneipada B.O"
764041,Odisha Circle,Berhampur Region,Koraput Division,"Jolaput S.O, Attanda B.O, Badel B.O, Balel B.O, Bilaput B.O"
764042,Odisha Circle,Berhampur Region,Koraput Division,"Onukadeli S.O, Ondrahal B.O, Upperdural B.O"
764043,Odisha Circle,Berhampur Region,Koraput Division,"Boipariguda S.O, Baligam B.O, Bodaput B.O, Chikima B.O, Chipakhor B.O, Dandabadi B.O, Dasamanthpur B.O, Doraguda B.O, Gondal B.O, Haladikund B.O, Kenduguda B.O, Kollar B.O, Majhiguda B.O, Mohuli B.O, Mosigam B.O, Ramgiri B.O, Tentuligumma B.O, Kathapoda B.O, Chandrapoda B.O"
764044,Odisha Circle,Berhampur Region,Koraput Division,"Mathili S.O, Ambaguda B.O, Bhejaguda B.O, Birlaxmipur B.O, Chaulmendi B.O, Chedenga B.O, Dalapatiguda B.O, Dungiaput B.O, Gongola B.O, Govindpalli B.O, Kartanpalli B.O, Kiyanga B.O, Kottapali B.O, Kutunipalli B.O, Mekka B.O, Mendukuli B.O, Mohupadar B.O, Naikaguda B.O, Pandripani B.O, Pongam B.O, Salimi B.O, Temurupali B.O, Udilibeda B.O, Bhandari Pangam B.O, Pedawada B.O, SERPALLI B.O, Madakapadar B.O, Markapalli B.O, Kamarpalli B.O, Parajabadapada B.O"
764045,Odisha Circle,Berhampur Region,Koraput Division,"Malkangiri S.O, Undrukonda B.O, Tigal B.O, Badigeta B.O, Chintalwada B.O, Chalanguda B.O, Goudaguda B.O, Jharapalli B.O, Korukonda B.O, Mariwada B.O, Padmagiri B.O, Panchabati B.O, Pedakonda B.O, Tamasa B.O, Tandiki B.O, Tumusapalli B.O, Udupa B.O, Dudameta B.O"
764046,Odisha Circle,Berhampur Region,Koraput Division,"Khairaput S.O, Kadamguda B.O, Podaghat B.O, Kudumuluguma B.O, Somnathpur B.O, Mudulipada B.O, Mundiguda B.O, Rasbeda B.O, Parkonmala B.O"
