pincode,circle,region,division,offices
761215,Odisha Circle,Berhampur Region,Rayagada Division,"Garabandha S.O, Adhagam B.O, Gondahati B.O, Goppilli Rampa B.O, Kinchilingi B.O, Labanyagada B.O, Pedakotturu B.O, Sabara B.O, Singipur B.O"
761217,Odisha Circle,Berhampur Region,Rayagada Division,"Odava S.O, Aligonda B.O, Birikote B.O, Damadua B.O, Guluba B.O, Karchabadi B.O, Mandimera B.O, Nalaghat B.O, Panigonda B.O, Katamaha B.O"
762001,Odisha Circle,Berhampur Region,Phulbani Division,"Phulbani H.O, Madikunda S.O, Masterpada S.O, Ollenbatch Nagar S.O, Penjisahi (TPO 1135) S.O, Phulbani Bazar S.O"
762002,Odisha Circle,Berhampur Region,Phulbani Division,"Contractorpada S.O, Balandapada B.O, Batimunda B.O, Dadaki B.O, Dakpala B.O, Gochhapada B.O, Jamjhari B.O, Katringia B.O, Krandibali B.O, Loisingi B.O, Paheraju B.O, Pokhari B.O, Sainipadar B.O, Salaguda B.O, Sudreju B.O, Sudrukumpa B.O, Talapada B.O, Tikiripada B.O, Tudipaju B.O"
762010,Odisha Circle,Berhampur Region,Phulbani Division,"Tikabali S.O, Arabaka B.O, Badimunda B.O, Bapalamendi B.O, Bastingia B.O, Beheragaon B.O, Breka B.O, Katimaha B.O, Mruskusahi B.O, Pikaradi B.O, Tentuligarh B.O"
762011,Odisha Circle,Berhampur Region,Phulbani Division,"Phiringia S.O, Bandhagarh B.O, Bhrungijodi B.O, Bisipada B.O, Dimbiriguda B.O, Jajespanga B.O, Kasinipadar B.O, Kelapada B.O, Kiamunda B.O, Majhipada B.O, Muselipanga B.O, Nuapadar B.O, Pabingia B.O, Rabingia B.O, Ratanga B.O, Sadingia B.O, Sakhipada B.O, Seskajodi B.O, Sripalla B.O, Tellapali B.O, PANGA UPARSHI BO"
762012,Odisha Circle,Berhampur Region,Phulbani Division,"Khajuripada S.O, Arapaju B.O, Baikumpa B.O, Baringi B.O, Dalapada B.O, Dutimendi B.O, Dutipada B.O, Gadiapada B.O, Gandapaju B.O, Gandisara B.O, Gudari B.O, Lambabadi B.O, Madhapur B.O, Ranapatuli B.O, Sakadi B.O, Talagaon B.O"
762013,Odisha Circle,Berhampur Region,Phulbani Division,"Purunakatak S.O, Badabandha B.O, Balanda B.O, Dhalapur B.O, Khandahata B.O, Ramgarh B.O, Tileswar B.O"
762014,Odisha Circle,Berhampur Region,Phulbani Division,"Boudhraj S.O, Balasinga B.O, Brahmanpalli B.O, Butupalli B.O, Charada B.O, Jagati B.O, Janhapanka B.O, Kamira B.O, Khamariapada B.O, Khuntabandha B.O, Laxmiprasad B.O, Marjakud B.O, Mundapada B.O, Murusundhi B.O, Palaspat B.O, Telibandha B.O, Tetelenga B.O, Boudh Court S.O, Boudhbazar S.O, Mallisahi S.O"
762015,Odisha Circle,Berhampur Region,Phulbani Division,"Bounsoni S.O, Ainlapalli B.O, Ambajhari B.O, Badiketa B.O, Bahira B.O, Balakira B.O, Dahya B.O, Gundulia B.O, Juramunda B.O, Kampara B.O, Kankala B.O, Kasurbandha B.O, Manupalli B.O, Mundipadar B.O, Nuapalli B.O, Roxa B.O, Rusibandha B.O, Sangochhapada B.O, Sangrampur B.O, Tilapanga B.O"
762016,Odisha Circle,Berhampur Region,Phulbani Division,"Manamunda S.O, Baragochha B.O, Bilaspur B.O, Damamunda B.O, Gudvellipadar B.O, Jogindrapur B.O, Khairmal B.O, Padarpada B.O, Sagada B.O, Sundhipadar B.O, Tundmal B.O"
762017,Odisha Circle,Berhampur Region,Phulbani Division,"Kantamal S.O, Badachhapalli B.O, Baragaon B.O, Narayan Prasad B.O, Sanachhapalli B.O, Srimal B.O"
762018,Odisha Circle,Berhampur Region,Phulbani Division,"Ghantapada S.O, Ambagaon B.O, Fased B.O, Kultajore B.O, Masinagora B.O, Nuapalli B.O, Uden B.O, Uma B.O"
762019,Odisha Circle,Berhampur Region,Phulbani Division,"Sankarakhole S.O, Gandagaon B.O, Kainjhar B.O"
762020,Odisha Circle,Berhampur Region,Phulbani Division,"Harabhanga S.O, Arakhapadar B.O, Bhejigora B.O, Chhatranga B.O, Kharabhuin B.O, Kumari B.O, Kusanga B.O, Mahallickpada B.O, Mallickpada B.O, Sankulei B.O, Satakhanda B.O"
