pincode,circle,region,division,offices
761027,Odisha Circle,Berhampur Region,Berhampur Division,"Humma S.O, Haripur Burudi B.O, Mallada B.O, Palur B.O, Santoshpur B.O"
761028,Odisha Circle,Berhampur Region,Berhampur Division,"Rambha S.O, Biruligada B.O, Dimiria B.O, Golagandapalli B.O, Kanaka B.O, Khandadeuli B.O, Madhuruchua B.O, Paladhuapalli B.O, Polango B.O, Sabulia B.O, Minchinipatana S.O"
761029,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote RS S.O, Aitipur B.O, Badapalli B.O, Bhejiput B.O, Bhikapada B.O, Bikrampur B.O, Khajapalli B.O, Koirasi B.O, Konheipur B.O, Langaleswar B.O, Panditgam B.O, Pathara B.O, Tentuliapalli B.O"
761030,Odisha Circle,Berhampur Region,Berhampur Division,"Khallikote S.O, Badhinuapalli B.O, Balunkeswarapur B.O, Bania B.O, Barasara B.O, Chikili B.O, Kendupata B.O, Kushadhipa B.O, Mathura B.O, Syamsundarpur B.O, Talapada B.O"
761031,Odisha Circle,Berhampur Region,Berhampur Division,"Beguniapada S.O, Biribatia B.O, Borida B.O, Kanchana B.O, Naikanipalli B.O, Pustapur B.O, Saurachachina B.O, Tirida B.O"
761032,Odisha Circle,Berhampur Region,Berhampur Division,"Kodala S.O, B.L.N.Pur B.O, Beruanbadi B.O, Chingudikhola B.O, Danapur B.O, Digapada B.O, Gouradeipur B.O, Jagilipadar B.O, Mardakote B.O, Mardamekha B.O, Mathasarasingi B.O, Mundala B.O, Phasi B.O, Kodala Tahasil Colony S.O, Kodala Bus Stand B.O"
761035,Odisha Circle,Berhampur Region,Berhampur Division,"Sumandala S.O, Angaragam B.O, Badakhairakhama B.O, Burujhuri Nuagam B.O, Kumaripari B.O, Sandhamula B.O, Sankuda B.O, Talasara B.O"
761037,Odisha Circle,Berhampur Region,Berhampur Division,"Surangi S.O, Gothagam B.O, Kharnipada B.O, Nuapentho B.O, Padadigi B.O, S.B.Pentho B.O, Tandipur B.O"
761041,Odisha Circle,Berhampur Region,Berhampur Division,"Badakharida S.O, Arakhapur B.O, Badamahuri B.O, Bhutsarasingi B.O, Rama Sanarayanpur B.O"
761042,Odisha Circle,Berhampur Region,Berhampur Division,"Bomokei S.O, Badadumbala B.O, Ballijodi B.O, Dekahli B.O, Jaccaro B.O, Karapada B.O, Manikyapur B.O, Mundapata B.O"
761043,Odisha Circle,Berhampur Region,Berhampur Division,"Pandia S.O, Antarigam B.O, Chatamundali B.O, Kalidaspur B.O, Morabai B.O, Pandarakhalli B.O"
761045,Odisha Circle,Berhampur Region,Berhampur Division,"Matikhalo S.O, Bada Aryapalli B.O, Banabulapalli B.O, Bhikaripalli B.O, Chamakhandi B.O, Kanamana B.O, Sindurapur B.O, Sriramchandrapur B.O"
761052,Odisha Circle,Berhampur Region,Berhampur Division,Golabandha S.O
761054,Odisha circle,Berhampur Region,Berhampur Division,"Badiosta B.O, Dengapadar B.O, Goutami B.O, Nalihada B.O, Ballipada S.O, Sidheswara B.O"
761055,Odisha Circle,Berhampur Region,Berhampur Division,"Bissmagiri S.O, Baritola B.O, Gadasamantarapur B.O, Khamarigam B.O, Nimakhandi Pentho B.O, Panada B.O, Phasiguda B.O, Sahadev Tikirapada B.O"
761100,Odisha Circle,Berhampur Region,Berhampur Division,"Kukudakhandi S.O, Ankushpur B.O, Baulojholi B.O, Dayapalli B.O, Gopinathpur B.O, Ollarigada B.O, Raijhola B.O, Satapahandia B.O"
761101,Odisha Circle,Berhampur Region,Aska Division,"Kanchuru S.O, Badakhandi B.O, Durabandha B.O, Makarjhola B.O, P.Padmanabhapur B.O, S.Ambagam B.O, Samarjhola B.O, Sapuapalli B.O, Saru B.O"
761102,Odisha Circle,Berhampur Region,Aska Division,"Hinjilicut S.O, Chandulli B.O, Kharida B.O, Nandiko B.O, Putiapadar B.O, Ralaba B.O, Sikiri B.O, Hinjlicut College Road S.O"
761103,Odisha Circle,Berhampur Region,Aska Division,"Pitala S.O, Brahmanchhai B.O, Mahachhai B.O, Narendrapur B.O, Podingi B.O, Ramachandrapur B.O, Tanhara B.O, Tankachhai B.O"
761104,Odisha Circle,Berhampur Region,Aska Division,"Kabisuryanagar S.O, Ambapua B.O, B.Nuapalli B.O, Baliasara B.O, Barida B.O, Bolosara B.O, Gangapur B.O, Ghodapolan B.O, Gudiali B.O, Hindola B.O, Jhadabai B.O, Jarada B.O, Paikajamuna B.O, Pathara B.O, Sialia B.O, Sunapalli B.O, Sunarijhola BO, Banadevi Patna S.O, Gopinath Patna S.O"
761105,Odisha Circle,Berhampur Region,Berhampur Division,"Polosara S.O, Athagadapatna B.O, Banthapalli B.O, Bellagam B.O, Bhabarada B.O, Budhamba B.O, Chirakipadasasan B.O, Gochabadi B.O, Jakara B.O, Kalambo B.O, Khanduru B.O, Madhupalli B.O, Mathura B.O, Pandiripada B.O, Polasara Nimina B.O, Tentulia B.O"
761106,Odisha Circle,Berhampur Region,Aska Division,"Seragada S.O, Bandhaguda B.O, Baramundalli B.O, Dasamundali B.O, Dhabalpur B.O, Dhanantara B.O, K.Karadakana B.O, Kachakhandi B.O, Kullagada B.O, Kumarpani B.O, Mahupadar B.O, S.Gopalpur B.O, Takarada B.O"
761107,Odisha Circle,Berhampur Region,Aska Division,"Dharakote S.O, Baharpur B.O, Baradabilli B.O, Bethuara B.O, D.Singipur B.O, G.D.Palli B.O, Jahada B.O, Janibilli B.O, Manikyapur B.O, Nuagada B.O, Rugumu B.O, Saba B.O, Suramani B.O"
761108,Odisha Circle,Berhampur Region,Aska Division,"Surada S.O, Amrutulu B.O, B.Kotibadi B.O, Badabadangi B.O, Genja B.O, Gopalpursasan B.O, Hukuma B.O, K.Jatabadi B.O, Lathipada B.O, Palakatu B.O, Ranaba B.O, Ratnapur B.O, Sarabadi B.O, Sorisbilli B.O, Surada Bazar B.O"
761109,Odisha Circle,Berhampur Region,Aska Division,"Badagada S.O, Balarampur B.O, Borada B.O, Ekalpur B.O, Gangapur B.O, Gaudagotha B.O, Merikote B.O, Padmapur B.O, Rai Bandha B.O, Sandhikendu B.O, Sidhapur B.O"
761110,Odisha Circle,Berhampur Region,Aska Division,"Aska H.O, Aska Junction S.O, Khambeswari Patna S.O, Raghunath Nagar S.O (Ganjam), Sunambo Street S.O, T.O.Road S.O"
761111,Odisha Circle,Berhampur Region,Aska Division,"Nuagam S.O, A.K.Deuli B.O, Alipur B.O, Babanpur B.O, Balichhai B.O, Baragam B.O, Dhaugam B.O, G.D.Palli B.O, Haridapadar B.O, Humuki B.O, Jayapur B.O, Kalasandhapur B.O, Kaniary B.O, Kharia B.O, Kotinada B.O, Kumbhari B.O, Nalabanta B.O, Subalaya B.O, Aska College Square S.O"
